League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS
Friendly,2024-01-01 00:00:00,Japan,Thailand,5.0,0.0,,,,,,,,
Friendly,2024-01-01 00:00:00,China,Hong Kong,1.0,2.0,,,,,,,,
Friendly,2024-01-02 00:00:00,Indonesia,Libya,0.0,4.0,,,,,,,,
Friendly,2024-01-04 00:00:00,Tajikistan,Hong Kong,2.0,1.0,,,,,,,,
Friendly,2024-01-04 00:00:00,Saudi Arabia,Lebanon,1.0,0.0,,,,,,,,
Friendly,2024-01-05 00:00:00,Indonesia,Libya,1.0,2.0,,,,,,,,
Friendly,2024-01-05 00:00:00,Iran,Burkina Faso,2.0,1.0,,,,,,,,
Friendly,2024-01-05 00:00:00,Kyrgyzstan,Syria,1.0,1.0,,,,,,,,
Friendly,2024-01-05 00:00:00,Qatar,Jordan,1.0,2.0,,,,,,,,
Friendly,2024-01-05 00:00:00,Togo,Algeria,0.0,3.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Mali,Guinea-Bissau,6.0,2.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Tunisia,Mauritania,0.0,0.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Ivory Coast,Sierra Leone,5.0,1.0,,,,,,,,
Friendly,2024-01-06 00:00:00,United Arab Emirates,Oman,0.0,1.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Mozambique,Lesotho,2.0,0.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Bahrain,Australia,0.0,2.0,,,,,,,,
Friendly,2024-01-06 00:00:00,Iraq,South Korea,0.0,1.0,,,,,,,,
Friendly,2024-01-06 00:00:00,DR Congo,Angola,0.0,0.0,,,,,,,,
Friendly,2024-01-07 00:00:00,Uzbekistan,Palestine,1.0,0.0,,,,,,,,
Friendly,2024-01-07 00:00:00,Egypt,Tanzania,2.0,0.0,,,,,,,,
Friendly,2024-01-08 00:00:00,Nigeria,Guinea,0.0,2.0,,,,,,,,
Friendly,2024-01-08 00:00:00,Botswana,Mozambique,1.0,1.0,,,,,,,,
Friendly,2024-01-08 00:00:00,Syria,Malaysia,2.0,2.0,,,,,,,,
Friendly,2024-01-08 00:00:00,Senegal,Niger,1.0,0.0,,,,,,,,
Friendly,2024-01-08 00:00:00,Ghana,Namibia,0.0,0.0,,,,,,,,
Friendly,2024-01-09 00:00:00,Indonesia,Iran,0.0,5.0,,,,,,,,
