League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HasOT,Home_OT,Away_OT
BSN,2026-07-31,Criollos de Caguas,Vaqueros de Bayamon,111,97,False,0,0
NBA W,2026-07-31,Chicago Sky W,Connecticut Sun W,94,88,False,0,0
NBA W,2026-07-31,Las Vegas Aces W,New York Liberty W,104,99,False,0,0
NBA W,2026-07-31,Toronto Tempo W,Minnesota Lynx W,72,104,False,0,0
BSN,2026-07-30,Aguada Santeros,Leones De Ponce,100,89,False,0,0
CEBL,2026-07-30,Saskatoon Mamba,Niagara River Lions,94,83,False,0,0
NBA W,2026-07-30,Dallas Wings W,Atlanta Dream W,81,82,False,0,0
BSN,2026-07-29,Vaqueros de Bayamon,Criollos de Caguas,106,83,False,0,0
MPBL,2026-07-29,Negros Hacienderos,Quezon City,87,120,False,0,0
MPBL,2026-07-29,Pasig City,Abra Weavers,76,130,False,0,0
MPBL,2026-07-29,Rizal Golden Coolers,GenSan Warriors,81,71,False,0,0
NBA W,2026-07-29,Las Vegas Aces W,Portland Fire W,98,83,False,0,0
NBA W,2026-07-29,Los Angeles Sparks W,New York Liberty W,109,113,False,0,0
NBA W,2026-07-29,Minnesota Lynx W,Toronto Tempo W,100,93,False,0,0
NBA W,2026-07-29,Seattle Storm W,Indiana Fever W,95,105,False,0,0
NBL,2026-07-29,Southland Sharks,Tauranga Whai,96,81,False,0,0
BSN,2026-07-28,Leones De Ponce,Aguada Santeros,87,80,False,0,0
BSN,2026-07-27,Criollos de Caguas,Vaqueros de Bayamon,88,69,False,0,0
BSN,2026-07-26,Aguada Santeros,Leones De Ponce,93,70,False,0,0
CEBL,2026-07-26,Vancouver Bandits,Saskatoon Mamba,104,97,False,0,0
NBA W,2026-07-26,Team Cooper W,Team Weatherspoon W,122,129,False,0,0
BSN,2026-07-25,Vaqueros de Bayamon,Criollos de Caguas,78,74,False,0,0
CEBL,2026-07-25,Calgary Surge,Edmonton Stingers,101,88,False,0,0
CEBL,2026-07-24,Saskatoon Mamba,Brampton Honey Badgers,98,92,False,0,0
CEBL,2026-07-24,Winnipeg Sea Bears,Vancouver Bandits,77,92,False,0,0
NBA W,2026-07-23,Indiana Fever W,Connecticut Sun W,123,88,False,0,0
CEBL,2026-07-22,Calgary Surge,Vancouver Bandits,93,86,False,0,0
CEBL,2026-07-22,Saskatoon Mamba,Edmonton Stingers,96,94,False,0,0
BSN,2026-07-21,Cangrejeros,Criollos de Caguas,95,107,False,0,0
NBA W,2026-07-21,Dallas Wings W,New York Liberty W,98,99,True,15,16
NBA W,2026-07-21,Golden State Valkyries W,Washington Mystics W,82,90,False,0,0
NBA W,2026-07-21,Toronto Tempo W,Las Vegas Aces W,83,109,False,0,0
BSN,2026-07-20,Aguada Santeros,Capitanes de Arecibo,101,94,False,0,0
BSN,2026-07-19,Criollos de Caguas,Cangrejeros,104,80,False,0,0
BSN,2026-07-19,San German,Leones De Ponce,86,100,False,0,0
NBA - Las Vegas Summer League,2026-07-19,Los Angeles Lakers,Golden State Warriors,88,92,False,0,0
NBA - Las Vegas Summer League,2026-07-19,New Orleans Pelicans,Indiana Pacers,73,91,False,0,0
NBA W,2026-07-19,Golden State Valkyries W,Washington Mystics W,74,69,False,0,0
NBA W,2026-07-19,Indiana Fever W,New York Liberty W,108,88,False,0,0
NBA W,2026-07-19,Minnesota Lynx W,Portland Fire W,101,93,False,0,0
BSN,2026-07-18,Capitanes de Arecibo,Aguada Santeros,92,95,False,0,0
BSN,2026-07-18,Vaqueros de Bayamon,Gigantes de Carolina,90,81,False,0,0
CEBL,2026-07-18,Calgary Surge,Winnipeg Sea Bears,93,85,False,0,0
NBA - Las Vegas Summer League,2026-07-18,Miami Heat,Detroit Pistons,101,87,False,0,0
NBA - Las Vegas Summer League,2026-07-18,New York Knicks,Dallas Mavericks,88,110,False,0,0
BSN,2026-07-17,Cangrejeros,Criollos de Caguas,78,95,False,0,0
BSN,2026-07-17,Leones De Ponce,San German,98,92,False,0,0
Division 1,2026-07-17,Antonine,Al-Riyadi,65,90,False,0,0
NBA - Las Vegas Summer League,2026-07-17,Atlanta Hawks,Memphis Grizzlies,64,96,False,0,0
NBA - Las Vegas Summer League,2026-07-17,Charlotte Hornets,Sacramento Kings,90,92,False,0,0
NBA - Las Vegas Summer League,2026-07-17,Cleveland Cavaliers,Chicago Bulls,100,91,False,0,0
NBA - Las Vegas Summer League,2026-07-17,Denver Nuggets,Portland Trail Blazers,101,108,False,0,0
NBA - Las Vegas Summer League,2026-07-17,Miami Heat,Toronto Raptors,90,99,False,0,0
NBA W,2026-07-17,Chicago Sky W,Los Angeles Sparks W,96,82,False,0,0
NBA W,2026-07-17,Indiana Fever W,Seattle Storm W,110,107,False,0,0
NBA W,2026-07-17,Toronto Tempo W,Atlanta Dream W,92,111,False,0,0
