League,LeagueId,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HasOT,Home_OT,Away_OT
Asian Games Women,302.0,2026-09-24,4348,4365,Chinese Taipei W,Philippines W,83.0,71.0,False,0,0
Asian Games Women,302.0,2026-09-24,3042,4354,Japan W,Thailand W,86.0,29.0,False,0,0
Asian Games Women,302.0,2026-09-24,4353,3039,Mongolia W,China W,63.0,89.0,False,0,0
B League,56.0,2026-09-24,2975,6349,Gunma,Altiri Chiba,76.0,74.0,False,0,0
BBL,40.0,2026-09-24,519,526,Alba Berlin,Frankfurt,94.0,83.0,False,0,0
BBL,40.0,2026-09-24,530,561,Ludwigsburg,Rostock,81.0,78.0,False,0,0
BBL,40.0,2026-09-24,534,520,Vechta,Bamberg,67.0,108.0,False,0,0
Basketligaen,34.0,2026-09-24,464,468,Bakken Bears,Horsens,83.0,64.0,False,0,0
Basketligaen,34.0,2026-09-24,471,5015,Team FOG Naestved,Holbaek-Stenhus,117.0,56.0,False,0,0
Basketligaen,34.0,2026-09-24,2664,2258,Vejen,Bears Academy,60.0,92.0,False,0,0
ENBL,369.0,2026-09-24,904,848,Anwil Wloclawek,Donar Groningen,97.0,81.0,False,0,0
EuroCup Women,360.0,2026-09-24,4838,1712,Beroe W,Ferrol W,61.0,76.0,False,0,0
EuroCup Women,360.0,2026-09-24,3655,454,Chartres W,Chomutov W,80.0,66.0,False,0,0
EuroCup Women,360.0,2026-09-24,7458,742,Estepona W,San Giovanni W,65.0,76.0,False,0,0
EuroCup Women,360.0,2026-09-24,1243,544,Geneve W,Saarlouis W,75.0,109.0,False,0,0
Euroleague,120.0,2026-09-24,2329,1263,Barcelona,Anadolu Efes,89.0,82.0,False,0,0
Euroleague,120.0,2026-09-24,2331,1542,Baskonia,Olympiacos,89.0,106.0,False,0,0
Euroleague,120.0,2026-09-24,1065,796,Crvena Zvezda Meridianbet,Zalgiris Kaunas,77.0,83.0,False,0,0
Euroleague,120.0,2026-09-24,6496,2338,Dubai,Real Madrid,78.0,77.0,False,0,0
Euroleague,120.0,2026-09-24,682,522,Hapoel Tel Aviv,Bayern,84.0,86.0,False,0,0
Euroleague,120.0,2026-09-24,26,687,Lyon-Villeurbanne,Maccabi Tel Aviv,84.0,74.0,False,0,0
Euroleague,120.0,2026-09-24,614,108,Panathinaikos,Paris,91.0,72.0,False,0,0
Extraliga,87.0,2026-09-24,7385,7438,Kosice Wolves,Slovan Bratislava,59.0,94.0,False,0,0
Intercontinental Cup,280.0,2026-09-24,282,7392,Boca Juniors,G League United,74.0,79.0,False,0,0
Intercontinental Cup,280.0,2026-09-24,794,433,Rytas,Shanghai,107.0,66.0,False,0,0
KBL Cup,266.0,2026-09-24,1103,1108,Goyang Sono,Seoul Knights,99.0,86.0,False,0,0
KBL Cup,266.0,2026-09-24,3081,1107,KoGas,Mobis Phoebus,82.0,87.0,False,0,0
KBL Cup,266.0,2026-09-24,1111,1109,Wonju DB,Seoul Thunders,101.0,83.0,False,0,0
LNB,114.0,2026-09-24,1377,1384,Ancud,Puerto Montt,83.0,94.0,False,0,0
LNB,258.0,2026-09-24,3900,7927,Dep. San Jose,Capiata Bulls,101.0,68.0,False,0,0
LNB,258.0,2026-09-24,4936,7424,Felix Perez Cardozo,Deportivo Amambay,60.0,81.0,False,0,0
LNB,114.0,2026-09-24,1381,1447,Las Animas,Espanol de Talca,81.0,77.0,False,0,0
LNB,114.0,2026-09-24,6446,5114,Naviera Ulloa,Colo Colo,92.0,82.0,False,0,0
Latvia-Estonian League,204.0,2026-09-24,485,480,Tartu Ulikool,BC Kalev/Cramo,90.0,63.0,False,0,0
NB I A W,47.0,2026-09-24,638,639,ETO Basket W,Ujbuda BEAC W,88.0,74.0,False,0,0
NBA W,13.0,2026-09-24,164,7870,Connecticut Sun W,Toronto Tempo W,95.0,81.0,False,0,0
NBA W,13,2026-09-24,168,7326,Los Angeles Sparks W,Golden State Valkyries W,75.0,76.0,False,0,0
NBA W,13.0,2026-09-24,169,166,Minnesota Lynx W,Indiana Fever W,86.0,66.0,False,0,0
NBA W,13,2026-09-24,171,167,Phoenix Mercury W,Las Vegas Aces W,82.0,100.0,False,0,0
NBA W,13.0,2026-09-24,175,163,Washington Mystics W,Chicago Sky W,101.0,93.0,False,0,0
NBL,1.0,2026-09-24,5,8,Perth,Adelaide,98.0,97.0,False,0,0
NBL,1.0,2026-09-24,2,1,South East Melbourne,Melbourne United,61.0,86.0,False,0,0
VBA,276.0,2026-09-24,75,3994,Saigon Heat,Hanoi Buffaloes,80.0,97.0,False,0,0
Asian Games Women,302.0,2026-09-23,3047,4350,South Korea W,Indonesia W,101.0,59.0,False,0,0
B League,56.0,2026-09-23,749,758,Alvark,Ryukyu,74.0,85.0,False,0,0
B League,56.0,2026-09-23,6034,761,Nagasaki,Shimane,64.0,89.0,False,0,0
Basketligaen,34.0,2026-09-23,7884,7902,BMS Herlev,Gladsaxe,70.0,102.0,False,0,0
Basketligaen,34.0,2026-09-23,469,470,Randers,Svendborg,83.0,96.0,False,0,0
ENBL,369.0,2026-09-23,2748,655,BK Liepaja,Tindastoll,69.0,92.0,False,0,0
ENBL,369.0,2026-09-23,1232,2516,Lausanne Basket,Kapfenberg Bulls,71.0,94.0,False,0,0
ENBL,369.0,2026-09-23,483,877,Tal Tech,Fyllingen,95.0,94.0,False,0,0
EuroCup Women,360.0,2026-09-23,3729,3755,Proteas Voulas W,Elitzur Ramla W,46.0,79.0,False,0,0
Euroleague Women,359.0,2026-09-23,123,456,Flammes Carolo W,KP Brno W,101.0,81.0,False,0,0
Euroleague Women,359.0,2026-09-23,800,920,Kibirkstis Vilnius W,AZS Poznan W,91.0,69.0,False,0,0
Euroleague Women,359.0,2026-09-23,3692,3969,Panathinaikos W,Emlak Konut W,68.0,91.0,False,0,0
Euroleague Women,359.0,2026-09-23,462,3930,Zabiny Brno W,Crvena zvezda W,69.0,75.0,False,0,0
FIBA Europe Cup,201.0,2026-09-23,7524,481,Neftchi IK,Parnu,80.0,67.0,False,0,0
FIBA Europe Cup,201.0,2026-09-23,783,978,Peja,Dinamo Bucharest,58.0,96.0,False,0,0
FIBA Europe Cup,201.0,2026-09-23,3620,1069,Samobor,BC Prievidza,83.0,103.0,False,0,0
Intercontinental Cup,280.0,2026-09-23,423,7392,Beijing Royal Fighters,G League United,89.0,119.0,False,0,0
Intercontinental Cup,280.0,2026-09-23,433,7878,Shanghai,RSSB Tigers,115.0,117.0,True,12,14
LKL,60.0,2026-09-23,791,789,Neptunas,Juventus,99.0,84.0,False,0,0
LKL,60.0,2026-09-23,795,790,Siauliai,Lietkabelis,86.0,77.0,False,0,0
LNB,114.0,2026-09-23,1387,1378,U. De Concepcion,CD Puerto Varas,96.0,76.0,False,0,0
Latvia-Estonian League,204.0,2026-09-23,1663,2745,VEF Riga,Latvijas Universitate,104.0,66.0,False,0,0
League Cup,141.0,2026-09-23,7498,2730,Hapoel HaEmek,Ironi Kiryat Ata,98.0,99.0,True,14,15
League Cup,141.0,2026-09-23,680,2731,Hapoel Holon,Maccabi Ironi Ramat Gan,83.0,80.0,False,0,0
Liga Nova KBM,89.0,2026-09-23,1684,413,Perspektiva Ilirija,Gorica,86.0,59.0,False,0,0
NBA W,13.0,2026-09-23,170,162,New York Liberty W,Atlanta Dream W,65.0,83.0,False,0,0
NBA W,13.0,2026-09-23,172,165,Seattle Storm W,Dallas Wings W,91.0,103.0,False,0,0
NBL,1.0,2026-09-23,3404,3185,Cairns Taipans,Tasmania JackJumpers,93.0,87.0,False,0,0
NBL,32.0,2026-09-23,442,451,Decin,USK Prague,74.0,57.0,False,0,0
NBL,32.0,2026-09-23,445,441,NH Ostrava,Brno,85.0,76.0,False,0,0
