League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
African Cup of Nations qualification,2024-03-26,South Sudan,São Tomé and Príncipe,0.0,0.0,,,,,,,,,2024-03
UEFA Euro qualification,2024-03-26,Ukraine,Iceland,2.0,1.0,,,,,,,,,2024-03
UEFA Nations League,2024-03-26,Lithuania,Gibraltar,1.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,British Virgin Islands,United States Virgin Islands,0.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Thailand,South Korea,0.0,3.0,,,,,,,,,2024-03
FIFA Series,2024-03-26,New Zealand,Tunisia,0.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Malta,Belarus,0.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Austria,Turkey,6.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Spain,Brazil,3.0,3.0,,,,,,,,,2024-03
Friendly,2024-03-26,Slovenia,Portugal,2.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Senegal,Benin,1.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Scotland,Northern Ireland,0.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Peru,Dominican Republic,4.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Norway,Slovakia,1.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Nicaragua,Cuba,0.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Morocco,Mauritania,0.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Argentina,Costa Rica,3.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Latvia,Liechtenstein,1.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Hungary,Kosovo,2.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Germany,Netherlands,2.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,France,Chile,3.0,2.0,,,,,,,,,2024-03
Friendly,2024-03-26,England,Belgium,2.0,2.0,,,,,,,,,2024-03
Friendly,2024-03-26,El Salvador,Honduras,1.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Denmark,Faroe Islands,2.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Czech Republic,Armenia,2.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Ivory Coast,Uruguay,2.0,1.0,,,,,,,,,2024-03
Friendly,2024-03-26,Colombia,Romania,3.0,2.0,,,,,,,,,2024-03
UEFA Euro qualification,2024-03-26,Wales,Poland,0.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Republic of Ireland,Switzerland,0.0,1.0,,,,,,,,,2024-03
UEFA Euro qualification,2024-03-26,Georgia,Greece,0.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Bahrain,Nepal,3.0,0.0,,,,,,,,,2024-03
Oceania Nations Cup qualification,2024-03-26,Tonga,Cook Islands,0.0,1.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,India,Afghanistan,1.0,2.0,,,,,,,,,2024-03
FIFA Series,2024-03-26,Egypt,Croatia,2.0,4.0,,,,,,,,,2024-03
FIFA Series,2024-03-26,Brunei,Vanuatu,3.0,2.0,,,,,,,,,2024-03
FIFA Series,2024-03-26,Algeria,South Africa,3.0,3.0,,,,,,,,,2024-03
African Cup of Nations qualification,2024-03-26,Mauritius,Chad,1.0,2.0,,,,,,,,,2024-03
FIFA Series,2024-03-26,Cambodia,Guyana,1.0,4.0,,,,,,,,,2024-03
African Cup of Nations qualification,2024-03-26,Liberia,Djibouti,0.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Turks and Caicos Islands,Anguilla,1.0,1.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Australia,Lebanon,5.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Bangladesh,Palestine,0.0,1.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Yemen,United Arab Emirates,0.0,3.0,,,,,,,,,2024-03
African Cup of Nations qualification,2024-03-26,Eswatini,Somalia,2.0,2.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Jordan,Pakistan,7.0,0.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Malaysia,Oman,0.0,2.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Kuwait,Qatar,1.0,2.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Syria,Myanmar,7.0,0.0,,,,,,,,,2024-03
Friendly,2024-03-26,Finland,Estonia,2.0,1.0,,,,,,,,,2024-03
FIFA World Cup qualification,2024-03-26,Kyrgyzstan,Taiwan,5.0,1.0,,,,,,,,,2024-03
