League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,LeagueId,Country,Round,EsEliminatoria,HomeTeamId,AwayTeamId,HTHG,HTAG
FA Cup,2026-09-01,Beijing Guoan,Rizhao Yuqi,3.0,1.0,,,,,,,,,171,China,Quarter-finals,True,830.0,21328.0,1.0,0.0
FA Cup,2026-09-01,Dalian Zhixing,Shanghai Shenhua,1.0,0.0,,,,,,,,,171,China,Quarter-finals,True,21263.0,833.0,0.0,0.0
FA Cup,2026-09-01,Shandong Luneng,SHANGHAI SIPG,0.0,3.0,,,,,,,,,171,China,Quarter-finals,True,844.0,836.0,0.0,2.0
1. Liga U19,2026-09-01,Sigma Olomouc U19,Sparta Praha U19,5.0,3.0,,,,,,,,,668,Czech-Republic,Regular Season - 1,False,7969.0,7995.0,1.0,1.0
Professional Development League,2026-09-01,Bristol City U21,Sheffield United U21,3.0,1.0,,,,,,,,,703,England,Regular Season,False,20080.0,20086.0,0.0,1.0
Professional Development League,2026-09-01,Charlton Athletic U21,Wigan Athletic U21,2.0,2.0,,,,,,,,,703,England,Regular Season,False,20082.0,20097.0,2.0,2.0
Professional Development League,2026-09-01,Fleetwood Town U21,Millwall U21,1.0,0.0,,,,,,,,,703,England,Regular Season,False,22173.0,20095.0,1.0,0.0
Professional Development League,2026-09-01,Huddersfield Town U21,Queens Park Rangers U21,3.0,1.0,,,,,,,,,703,England,Regular Season,False,20017.0,20085.0,2.0,1.0
Professional Development League,2026-09-01,Hull City U21,Swansea City U21,0.0,2.0,,,,,,,,,703,England,Regular Season,False,20084.0,11912.0,0.0,2.0
Calcutta Premier Division,2026-09-01,Bidhannagar,Kalighat,0.0,4.0,,,,,,,,,1020,India,Regular season,False,28010.0,21605.0,0.0,2.0
Calcutta Premier Division,2026-09-01,Railway,Kidderpore,5.0,2.0,,,,,,,,,1020,India,Regular season,False,21609.0,21606.0,2.0,2.0
FA Cup,2026-09-01,Damansara,Johor Darul Takzim FC,1.0,4.0,,,,,,,,,500,Malaysia,Round of 16,True,26352.0,2523.0,0.0,3.0
FA Cup,2026-09-01,Perak,Kuala Lumpur FA,0.0,1.0,,,,,,,,,500,Malaysia,Round of 16,True,2524.0,2517.0,0.0,0.0
Liga Revelação U23,2026-09-01,Farense U23,Famalicão U23,4.0,3.0,,,,,,,,,701,Portugal,Regular Season - 4,False,17474.0,15464.0,2.0,1.0
Liga Revelação U23,2026-09-01,Moreirense U23,Portimonense U23,0.0,0.0,,,,,,,,,701,Portugal,Regular Season - 4,False,28014.0,15467.0,0.0,0.0
UEFA Europa Cup - Women,2026-09-01,Metalist 1925 W,Mitrovica W,5.0,0.0,,,,,,,,,1191,World,1st Qualifying Round - Semi-Finals,True,26298.0,10896.0,2.0,0.0
