League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Jupiler Pro League,2025-02-28,Charleroi,Genk,1.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,11.0,12.0,2025-02
Ligue 2,2025-02-28,Laval,Martigues,0.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,11.0,8.0,2025-02
Championship,2025-02-28,Sheffield Weds,Sunderland,1.0,2.0,5.0,9.0,1.0,1.0,0.0,0.0,9.0,11.0,2025-02
Ligue 2,2025-02-28,Clermont,Caen,0.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,6.0,16.0,2025-02
Bundesliga 2,2025-02-28,Fortuna Dusseldorf,Greuther Furth,1.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0,8.0,11.0,2025-02
Championship Escocia,2025-02-28,Partick,Livingston,1.0,1.0,2.0,4.0,3.0,4.0,0.0,0.0,9.0,8.0,2025-02
La Liga 2,2025-02-28,Cartagena,Eibar,0.0,2.0,9.0,6.0,3.0,0.0,0.0,0.0,7.0,12.0,2025-02
Bundesliga 2,2025-02-28,Schalke 04,Preußen Münster,1.0,0.0,10.0,7.0,1.0,1.0,0.0,0.0,16.0,13.0,2025-02
Ligue 2,2025-02-28,Pau FC,Grenoble,1.0,0.0,15.0,4.0,1.0,0.0,0.0,1.0,22.0,7.0,2025-02
Ligue 2,2025-02-28,Troyes,Bastia,2.0,0.0,4.0,6.0,3.0,3.0,0.0,0.0,13.0,11.0,2025-02
Serie B,2025-02-28,Sudtirol,Spezia,1.0,1.0,2.0,6.0,1.0,3.0,0.0,0.0,14.0,24.0,2025-02
Ligue 2,2025-02-28,Annecy,Paris FC,2.0,3.0,1.0,5.0,2.0,1.0,2.0,0.0,5.0,15.0,2025-02
Ligue 1,2025-02-28,Monaco,Reims,3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,23.0,9.0,2025-02
Bundesliga,2025-02-28,Stuttgart,Bayern Munich,1.0,3.0,4.0,6.0,5.0,3.0,0.0,0.0,12.0,17.0,2025-02
Serie A,2025-02-28,Fiorentina,Lecce,1.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,10.0,8.0,2025-02
Eredivisie,2025-02-28,Waalwijk,For Sittard,1.0,2.0,8.0,1.0,1.0,4.0,0.0,0.0,20.0,7.0,2025-02
La Liga,2025-02-28,Valladolid,Las Palmas,1.0,1.0,13.0,4.0,2.0,1.0,0.0,1.0,23.0,4.0,2025-02
Serie A,2025-02-27,Bologna,Milan,2.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,14.0,8.0,2025-02
Premier League,2025-02-27,West Ham,Leicester,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,10.0,2025-02
League 2,2025-02-27,Barrow,Carlisle,0.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,19.0,8.0,2025-02
Premier League,2025-02-26,Man United,Ipswich,3.0,2.0,5.0,6.0,4.0,4.0,1.0,0.0,10.0,12.0,2025-02
Premier League,2025-02-26,Brentford,Everton,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,12.0,14.0,2025-02
Premiership Escocia,2025-02-26,Motherwell,Dundee,2.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,14.0,9.0,2025-02
Premier League,2025-02-26,Nott'm Forest,Arsenal,0.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,6.0,13.0,2025-02
Premier League,2025-02-26,Tottenham,Man City,0.0,1.0,8.0,3.0,3.0,0.0,0.0,0.0,11.0,12.0,2025-02
Premiership Escocia,2025-02-26,St Johnstone,Ross County,1.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,14.0,5.0,2025-02
Premiership Escocia,2025-02-26,Dundee United,Hibernian,1.0,3.0,1.0,10.0,1.0,2.0,0.0,0.0,8.0,9.0,2025-02
Premiership Escocia,2025-02-26,Hearts,St Mirren,3.0,1.0,5.0,6.0,0.0,4.0,0.0,0.0,10.0,11.0,2025-02
Premiership Escocia,2025-02-26,Kilmarnock,Rangers,2.0,4.0,6.0,4.0,2.0,4.0,0.0,0.0,11.0,14.0,2025-02
Premier League,2025-02-26,Liverpool,Newcastle,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,12.0,3.0,2025-02
Premier League,2025-02-25,Crystal Palace,Aston Villa,4.0,1.0,3.0,8.0,3.0,1.0,0.0,0.0,19.0,6.0,2025-02
Championship,2025-02-25,Stoke,Middlesbrough,1.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,12.0,16.0,2025-02
National League,2025-02-25,Tamworth,Rochdale,1.0,1.0,,,2.0,0.0,0.0,0.0,,,2025-02
National League,2025-02-25,Maidenhead,York,1.0,3.0,,,1.0,2.0,0.0,0.0,,,2025-02
National League,2025-02-25,Eastleigh,Gateshead,1.0,1.0,,,1.0,3.0,0.0,0.0,,,2025-02
Championship,2025-02-25,Cardiff,Hull,1.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,8.0,4.0,2025-02
National League,2025-02-25,Aldershot,Solihull,3.0,1.0,,,2.0,0.0,0.0,1.0,,,2025-02
League 2,2025-02-25,Cheltenham,Walsall,2.0,2.0,3.0,5.0,0.0,2.0,0.0,0.0,15.0,11.0,2025-02
Premier League,2025-02-25,Chelsea,Southampton,4.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,19.0,7.0,2025-02
Championship Escocia,2025-02-25,Livingston,Morton,3.0,2.0,8.0,8.0,1.0,0.0,0.0,0.0,10.0,6.0,2025-02
Premier League,2025-02-25,Brighton,Bournemouth,2.0,1.0,1.0,9.0,2.0,1.0,0.0,0.0,11.0,19.0,2025-02
